,LC_top,LC_bottom,s_since_start
401,131915070000.0,90812875000.0,1069.3333333333333
402,131969770000.0,90823230000.0,1072.0
403,131656220000.0,90627736000.0,1074.6666666666665
404,131730375000.0,90624960000.0,1077.3333333333333
405,131692720000.0,90572660000.0,1080.0
406,131641336000.0,90554540000.0,1082.6666666666665
407,132039630000.0,90656250000.0,1085.3333333333333
408,132283924000.0,90776990000.0,1088.0
409,131524320000.0,90423470000.0,1090.6666666666665
410,131309870000.0,90253296000.0,1093.3333333333333
411,131157434000.0,90196615000.0,1096.0
412,131199240000.0,90169080000.0,1098.6666666666665
413,131387870000.0,90262040000.0,1101.3333333333333
414,131718275000.0,90378220000.0,1104.0
415,131890260000.0,90444810000.0,1106.6666666666665
416,132270630000.0,90565160000.0,1109.3333333333333
417,132293520000.0,90490800000.0,1112.0
418,132038130000.0,90365860000.0,1114.6666666666665
419,132314880000.0,90463400000.0,1117.3333333333333
420,132411590000.0,90505990000.0,1120.0
421,132836270000.0,90659970000.0,1122.6666666666665
422,132990470000.0,90692730000.0,1125.3333333333333
423,133063040000.0,90707300000.0,1128.0
424,133164410000.0,90714554000.0,1130.6666666666665
425,133167500000.0,90678590000.0,1133.3333333333333
426,133233280000.0,90704360000.0,1136.0
427,133216035000.0,90645850000.0,1138.6666666666665
428,133255420000.0,90575350000.0,1141.3333333333333
429,133196360000.0,90514465000.0,1144.0
430,133248130000.0,90520000000.0,1146.6666666666665
431,133354980000.0,90609750000.0,1149.3333333333333
432,133621920000.0,90630040000.0,1152.0
433,133646990000.0,90635780000.0,1154.6666666666665
434,133590800000.0,90590520000.0,1157.3333333333333
435,133681280000.0,90607100000.0,1160.0
436,133861474000.0,90636026000.0,1162.6666666666665
437,133849520000.0,90594300000.0,1165.3333333333333
438,133873130000.0,90578550000.0,1168.0
439,133906285000.0,90546190000.0,1170.6666666666665
440,133812510000.0,90478370000.0,1173.3333333333333
441,133831570000.0,90401230000.0,1176.0
442,133894250000.0,90387505000.0,1178.6666666666665
443,133869310000.0,90408830000.0,1181.3333333333333
444,133980316000.0,90386510000.0,1184.0
445,133977400000.0,90376190000.0,1186.6666666666665
446,133745860000.0,90323120000.0,1189.3333333333333
447,133715665000.0,90268610000.0,1192.0
448,133516370000.0,90130320000.0,1194.6666666666665
449,133136340000.0,90010755000.0,1197.3333333333333
450,133798190000.0,90185780000.0,1200.0
451,133773705000.0,90150150000.0,1202.6666666666665
452,133719310000.0,90074120000.0,1205.3333333333333
453,133847515000.0,90064930000.0,1208.0
454,134008635000.0,90097566000.0,1210.6666666666665
455,134078280000.0,90153120000.0,1213.3333333333333
456,134101910000.0,90116070000.0,1216.0
457,134132790000.0,90076800000.0,1218.6666666666665
458,134107275000.0,90084860000.0,1221.3333333333333
459,134045650000.0,90041430000.0,1224.0
460,134045336000.0,90017554000.0,1226.6666666666665
461,134128610000.0,90038170000.0,1229.3333333333333
462,134111805000.0,90047180000.0,1232.0
463,134087040000.0,90015465000.0,1234.6666666666665
464,134190010000.0,90014750000.0,1237.3333333333333
465,134195650000.0,90014860000.0,1240.0
466,134171664000.0,89979120000.0,1242.6666666666665
467,134259830000.0,89974800000.0,1245.3333333333333
468,134195770000.0,89975040000.0,1248.0
469,134158190000.0,89952264000.0,1250.6666666666665
470,134164990000.0,89914030000.0,1253.3333333333333
471,134037370000.0,89842370000.0,1256.0
472,133974240000.0,89820135000.0,1258.6666666666665
473,133946590000.0,89785810000.0,1261.3333333333333
474,133866095000.0,89741190000.0,1264.0
475,133661500000.0,89686280000.0,1266.6666666666665
476,133753280000.0,89691865000.0,1269.3333333333333
477,133695420000.0,89690510000.0,1272.0
478,133813445000.0,89685720000.0,1274.6666666666665
479,133468365000.0,89615426000.0,1277.3333333333333
480,133250210000.0,89518195000.0,1280.0
481,133382390000.0,89585480000.0,1282.6666666666665
482,133445935000.0,89560400000.0,1285.3333333333333
483,133599120000.0,89601410000.0,1288.0
484,133756240000.0,89630910000.0,1290.6666666666665
485,133971120000.0,89673560000.0,1293.3333333333333
486,133710290000.0,89586120000.0,1296.0
487,133742130000.0,89517110000.0,1298.6666666666665
488,133736400000.0,89511680000.0,1301.3333333333333
489,133541740000.0,89428130000.0,1304.0
490,133443870000.0,89336020000.0,1306.6666666666665
491,133265010000.0,89266260000.0,1309.3333333333333
492,133809500000.0,89456150000.0,1312.0
493,133876360000.0,89482630000.0,1314.6666666666665
494,133460340000.0,89290860000.0,1317.3333333333333
495,133403820000.0,89261010000.0,1320.0
496,133047490000.0,89108140000.0,1322.6666666666665
